TAB, POD,Timp    ,alt       ,ssc_lat,ssc_lon,v    ,pth    ,az     ,pt1_lat,pt1_lon,pt1_srange,pt2_lat,pt2_lon,pt2_srange,p18_lat,p18_lon,p18_srange
  1,   8,1016.238,2095.91858, -3.304,-35.747,1.936,-74.755,117.031,-12.184,-17.369,2283.44547,-13.099,-30.197,2155.76868,-12.741,-14.718,2331.35843
  2,  10,1011.118,2086.35226, -3.322,-35.712,1.938,-74.728,117.026,-12.175,-17.386,2273.19089,-13.099,-30.155,2146.19238,-12.742,-14.746,2320.97476
  3,  12,1005.998,2076.77878, -3.340,-35.677,1.939,-74.701,117.021,-12.166,-17.404,2262.92722,-13.099,-30.117,2136.58743,-12.744,-14.779,2310.49570
  4,  14,1000.878,2067.19849, -3.358,-35.641,1.941,-74.673,117.017,-12.157,-17.422,2252.65494,-13.099,-30.080,2126.96899,-12.746,-14.813,2299.98590
  5,  16, 995.758,2057.61115, -3.376,-35.606,1.943,-74.646,117.012,-12.148,-17.439,2242.37372,-13.098,-30.043,2117.34268,-12.747,-14.847,2289.47000
  6,  18, 990.639,2048.01675, -3.394,-35.570,1.944,-74.618,117.007,-12.139,-17.457,2232.08359,-13.099,-30.011,2107.69724,-12.750,-14.888,2278.84222
  7,  20, 985.519,2038.41544, -3.412,-35.535,1.946,-74.591,117.002,-12.131,-17.475,2221.78467,-13.101,-29.980,2098.04202,-12.753,-14.929,2268.19162
  8,  22, 980.399,2028.80682, -3.430,-35.499,1.948,-74.563,116.998,-12.122,-17.492,2211.47656,-13.102,-29.948,2088.37860,-12.756,-14.971,2257.53598
  9,  24, 975.279,2019.19110, -3.449,-35.463,1.949,-74.535,116.993,-12.113,-17.510,2201.15948,-13.103,-29.912,2078.72842,-12.758,-15.006,2246.97556
 10,  26, 970.159,2009.56824, -3.467,-35.426,1.951,-74.507,116.988,-12.104,-17.528,2190.83337,-13.104,-29.875,2069.07190,-12.761,-15.040,2236.41742
 11,  28, 965.039,1999.93808, -3.486,-35.390,1.953,-74.478,116.983,-12.095,-17.546,2180.49811,-13.105,-29.838,2059.40698,-12.763,-15.075,2225.85260
 12,  30, 959.919,1990.30093, -3.504,-35.353,1.955,-74.450,116.978,-12.086,-17.563,2170.15384,-13.105,-29.802,2049.72501,-12.765,-15.111,2215.24969
 13,  32, 954.799,1980.65637, -3.523,-35.316,1.956,-74.421,116.973,-12.077,-17.581,2159.80029,-13.105,-29.766,2040.03450,-12.767,-15.147,2204.63986
 14,  34, 949.679,1971.00443, -3.542,-35.279,1.958,-74.393,116.968,-12.068,-17.599,2149.43744,-13.105,-29.729,2030.33609,-12.768,-15.182,2194.03070
 15,  36, 944.559,1961.34534, -3.561,-35.242,1.960,-74.364,116.963,-12.059,-17.617,2139.06555,-13.103,-29.687,2020.63870,-12.768,-15.210,2183.51910
 16,  38, 939.440,1951.67883, -3.580,-35.204,1.962,-74.335,116.958,-12.050,-17.635,2128.68430,-13.101,-29.645,2010.93288,-12.768,-15.238,2172.99942
 17,  40, 934.320,1942.00485, -3.599,-35.166,1.963,-74.306,116.953,-12.041,-17.653,2118.29355,-13.099,-29.600,2001.23306,-12.767,-15.263,2162.52896
 18,  42, 929.200,1932.32352, -3.618,-35.128,1.965,-74.277,116.948,-12.032,-17.671,2107.89349,-13.098,-29.539,1991.62000,-12.768,-15.267,2152.42319
 19,  44, 924.080,1922.63486, -3.638,-35.090,1.967,-74.248,116.943,-12.023,-17.689,2097.48425,-13.096,-29.477,1981.99852,-12.769,-15.270,2142.30460
 20,  46, 918.960,1912.93851, -3.657,-35.052,1.969,-74.218,116.938,-12.014,-17.707,2087.06531,-13.095,-29.417,1972.36589,-12.769,-15.275,2132.16269
 21,  48, 913.840,1903.23456, -3.677,-35.013,1.971,-74.189,116.933,-12.005,-17.725,2076.63678,-13.094,-29.358,1962.71535,-12.770,-15.282,2121.96747
 22,  50, 908.720,1893.52341, -3.696,-34.975,1.972,-74.159,116.928,-11.996,-17.744,2066.19910,-13.092,-29.299,1953.05630,-12.770,-15.289,2111.76001
 23,  52, 903.600,1883.80429, -3.716,-34.936,1.974,-74.129,116.923,-11.987,-17.762,2055.75146,-13.091,-29.240,1943.39423,-12.771,-15.295,2101.55652
 24,  54, 898.480,1874.07779, -3.736,-34.896,1.976,-74.099,116.918,-11.978,-17.780,2045.29445,-13.090,-29.178,1933.73970,-12.772,-15.299,2091.38501
 25,  56, 893.360,1864.34351, -3.756,-34.857,1.978,-74.069,116.913,-11.969,-17.798,2034.82758,-13.090,-29.117,1924.07603,-12.773,-15.304,2081.20026
 26,  58, 888.240,1854.59976, -3.776,-34.817,1.980,-74.039,116.908,-11.960,-17.816,2024.34914,-13.088,-29.058,1914.38814,-12.773,-15.310,2070.96686
 27,  60, 883.121,1844.85172, -3.796,-34.777,1.982,-74.008,116.902,-11.951,-17.835,2013.86464,-13.085,-29.000,1904.66908,-12.772,-15.320,2060.66058
 28,  62, 878.001,1835.09427, -3.817,-34.737,1.984,-73.978,116.897,-11.942,-17.853,2003.36853,-13.082,-28.943,1894.93929,-12.771,-15.329,2050.34006
 29,  64, 872.881,1825.32901, -3.837,-34.697,1.986,-73.947,116.892,-11.933,-17.871,1992.86267,-13.079,-28.886,1885.20248,-12.770,-15.339,2040.01836
 30,  66, 867.761,1815.55585, -3.857,-34.656,1.987,-73.916,116.887,-11.924,-17.890,1982.34676,-13.075,-28.827,1875.45927,-12.769,-15.347,2029.69925
 31,  68, 862.641,1805.77472, -3.878,-34.616,1.989,-73.885,116.881,-11.914,-17.908,1971.82089,-13.072,-28.769,1865.70677,-12.768,-15.356,2019.36719
 32,  70, 857.521,1795.98587, -3.899,-34.575,1.991,-73.854,116.876,-11.904,-17.926,1961.28523,-13.068,-28.711,1855.94516,-12.767,-15.365,2009.02226
